row,SCHNAME,zipcode,area,zone,type,latitude,longitude,School,Rank2017,IB,IP,SAP,Girls,Boys,Co-ed,O-level track,PSLE2017 Cut Off,GenderMix
122,ZHONGHUA SECONDARY SCHOOL,556123,SERANGOON,South,Government,1.3495,103.8689,Zhonghua Secondary School ,38,N,N,N,N,N,Y,,232,CO-ED
125,CHIJ ST. JOSEPH'S CONVENT,548595,SENG KANG,North,Government-Aided,1.3911,103.9022,CHIJ St. Joseph’s Convent,42,N,N,N,Y,N,N,,231,GIRLS
59,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,579795,BISHAN,South,Government-Aided,1.3498,103.8538,Kuo Chuan Presbyterian Secondary School,42,N,N,N,N,N,Y,,231,CO-ED
62,PRESBYTERIAN HIGH SCHOOL,569845,ANG MO KIO,North,Government-Aided,1.3814,103.8432,Presbyterian High School,42,N,N,N,N,N,Y,,231,CO-ED
107,RIVERSIDE SECONDARY SCHOOL,738524,WOODLANDS,North,Government,1.4405,103.7881,Riverside Secondary School,42,N,N,N,N,N,Y,,231,CO-ED
43,TEMASEK SECONDARY SCHOOL,465561,BEDOK,East ,Government,1.3168,103.9472,Temasek Secondary School,42,N,N,N,N,N,Y,,231,CO-ED
81,CLEMENTI TOWN SECONDARY SCHOOL,129904,CLEMENTI,West ,Government,1.3161,103.7614,Clementi Town Secondary School,47,N,N,N,N,N,Y,,230,CO-ED
14,DUNMAN SECONDARY SCHOOL,529093,TAMPINES,East ,Government,1.3629,103.9563,Dunman Secondary School,48,N,N,N,N,N,Y,,229,CO-ED
129,HOLY INNOCENTS' HIGH SCHOOL,534786,HOUGANG,South,Government-Aided,1.3723,103.896,Holy Innocents’ High School,48,N,N,N,N,N,Y,,229,CO-ED
112,TANJONG KATONG GIRLS' SCHOOL,469268,MARINE PARADE,East ,Government,1.3219,103.9275,Tanjong Katong Girls’ School,48,N,N,N,Y,N,N,,229,GIRLS
25,KRANJI SECONDARY SCHOOL,688945,CHOA CHU KANG,West ,Government,1.3801,103.7575,Kranji Secondary School,51,N,N,N,N,N,Y,,228,CO-ED
64,ST. HILDA'S SECONDARY SCHOOL,528986,TAMPINES,East ,Government-Aided,1.3503,103.9361,St. Hilda’s Secondary School,51,N,N,N,N,N,Y,,228,CO-ED
72,ANG MO KIO SECONDARY SCHOOL,569362,ANG MO KIO,South,Government,1.3674,103.8431,Ang Mo Kio Secondary School,53,N,N,N,N,N,Y,,226,CO-ED
76,BOWEN SECONDARY SCHOOL,547529,HOUGANG,North,Government,1.3714,103.8779,Bowen Secondary School,53,N,N,N,N,N,Y,,226,CO-ED
16,EVERGREEN SECONDARY SCHOOL,738489,WOODLANDS,North,Government,1.4412,103.7945,Evergreen Secondary School,55,N,N,N,N,N,Y,,225,CO-ED
124,CHIJ KATONG CONVENT,449150,MARINE PARADE,East ,Government-Aided,1.3063,103.9169,CHIJ Katong Convent,56,N,N,N,Y,N,N,,224,GIRLS
86,EDGEFIELD SECONDARY SCHOOL,828814,PUNGGOL,North,Government,1.401,103.9026,Edgefield Secondary School,56,N,N,N,N,N,Y,,224,CO-ED
18,GAN ENG SENG SCHOOL,159561,BUKIT MERAH,South,Government,1.2898,103.823,Gan Eng Seng School,56,N,N,N,N,N,Y,,224,CO-ED
128,GEYLANG METHODIST SCHOOL (SECONDARY),389705,SECONDARY,East ,Government-Aided,1.3185,103.8822,Geylang Methodist School (Secondary),56,N,N,N,N,N,Y,,224,CO-ED
134,ST. GABRIEL'S SECONDARY SCHOOL,556140,SERANGOON,South,Government-Aided,1.3475,103.8751,St. Gabriel’s Secondary School,56,N,N,N,N,Y,N,,224,BOYS
93,JURONG SECONDARY SCHOOL,618652,JURONG WEST,West ,Government,1.331,103.7248,Jurong Secondary School,61,N,N,N,N,N,Y,,223,CO-ED
77,BUKIT BATOK SECONDARY SCHOOL,658962,BUKIT BATOK,West ,Government,1.3477,103.7411,Bukit Batok Secondary School,62,N,N,N,N,N,Y,,222,CO-ED
92,HUA YI SECONDARY SCHOOL,649371,JURONG WEST,West ,Government,1.3531,103.7217,Hua Yi Secondary School,63,N,N,N,N,N,Y,,221,CO-ED
63,ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,469700,BEDOK,East ,Government-Aided,1.3342,103.9418,St. Anthony’s Canossian Secondary School,63,N,N,N,Y,N,N,,221,GIRLS
